"long";"short";"MCC";"number_of_operators";"pipeline_depth";"number_of_unique_operators";"total_number_of_parameters";"digraph"
"MVTec_AD_Carpet_mean_pipeline";"Carpet";"0.47544453849829899";"5";"3";"5";"10";"digraph Pipeline { rankdir = ""RL"";39 [label=""Opening\nStructElement=Circle\n A=16\n B=13""]; 22 [label=""Threshold\nMin=50\n Max=220""]; 25 [label=""BinaryThreshold\nMethod=smooth_histo\n LightDark=light""]; 3 [label=""GaussFilter\nMaskSize=3""]; 18 [label=""SobelAmp\nFilterType=x\n MaskSize=3""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 39 -> 22 []; 39 -> 25 []; 22 -> 3 []; 25 -> 18 []; 3 -> _1 []; 18 -> _1 []; }"
"MVTec_AD_Grid_Thread_mean_pipeline";"Thread";"0.47409601716713501";"2";"2";"2";"5";"digraph Pipeline { rankdir = ""RL"";88 [label=""CropRectangle\nMinRatio=0,0549999997019768\n MaskHeight=9\n MaskWidth=21""]; 8 [label=""BinomialFilter\nMaskHeight=27\n MaskWidth=31""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 88 -> 8 []; 8 -> _1 []; }"
"MVTec_AD_Hazelnut_Crack_mean_pipeline";"Crack";"0.56066120774874395";"4";"4";"4";"11";"digraph Pipeline { rankdir = ""RL"";66 [label=""Closing\nA=17\n B=12\n C=0,785398\n StructElementType=Ellipse""]; 36 [label=""AreaToRectangle\n""]; 21 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=15\n Scale=0,5""]; 7 [label=""SigmaImage\nMaskHeight=9\n MaskWidth=7\n Sigma=54""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 66 -> 36 []; 36 -> 21 []; 21 -> 7 []; 7 -> _1 []; }"
"MVTec_D_Leather_mean_pipeline";"Leather";"0.47247579891175001";"3";"3";"3";"8";"digraph Pipeline { rankdir = ""RL"";38 [label=""AreaToRectangle\n""]; 23 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=15\n Scale=0,3""]; 8 [label=""GrayErosion\nStructElement=Circle\n A=19\n B=8\n GrayValueMax=1""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 38 -> 23 []; 23 -> 8 []; 8 -> _1 []; }"
"MVTec_AD_Metal_Nut_mean_pipeline";"Nut";"0.13807042267315400";"3";"3";"3";"11";"digraph Pipeline { rankdir = ""RL"";36 [label=""Closing\nA=25\n B=18\n C=-0,785398\n StructElementType=Rectangle""]; 24 [label=""CropRectangle\nMinRatio=0,0649999976158142\n MaskHeight=21\n MaskWidth=13""]; 3 [label=""GrayDilation\nStructElement=Circle\n A=3\n B=5\n GrayValueMax=0""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 36 -> 24 []; 24 -> 3 []; 3 -> _1 []; }"
"MVTec_AD_Pill_Crack_mean_pipeline";"Crack";"0.59037942095130902";"3";"3";"3";"11";"digraph Pipeline { rankdir = ""RL"";31 [label=""Closing\nA=16\n B=15\n C=0,392699\n StructElementType=Circle""]; 29 [label=""CropRectangle\nMinRatio=0,104999996721745\n MaskHeight=27\n MaskWidth=29""]; 3 [label=""GrayErosion\nStructElement=Circle\n A=12\n B=11\n GrayValueMax=0""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 31 -> 29 []; 29 -> 3 []; 3 -> _1 []; }"
"MVTec_AD_Screw_Scratch_mean_pipeline";"Scratch";"0.34135617711119998";"3";"3";"3";"13";"digraph Pipeline { rankdir = ""RL"";65 [label=""Closing\nA=18\n B=7\n C=0\n StructElementType=Circle""]; 20 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=21\n Scale=0,2""]; 0 [label=""EdgesImage\nFilter=canny\n Alpha=0,4\n Low=10\n High=30\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 65 -> 20 []; 20 -> 0 []; 0 -> _1 []; }"
"MVTec_AD_Tile_Crack_mean_pipeline";"Crack";"0.68542108571318505";"3";"3";"3";"10";"digraph Pipeline { rankdir = ""RL"";30 [label=""Closing\nA=29\n B=23\n C=-1,178097\n StructElementType=Ellipse""]; 23 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=21\n Scale=0,5""]; 8 [label=""MedianWeighted\nMaskType=inner\n MaskSize=3""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 30 -> 23 []; 23 -> 8 []; 8 -> _1 []; }"
"MVTec_AD_Toothbrush_Sm_mean_pipeline";"Sm";"0.22592414840139100";"3";"3";"3";"7";"digraph Pipeline { rankdir = ""RL"";95 [label=""AreaToRectangle\n""]; 80 [label=""VarThreshold\nMaskWidth=5\n MaskHeight=17\n StdDevScale=0.9000002\n AbsThreshold=76\n LightDark=dark""]; 18 [label=""SobelAmp\nFilterType=y\n MaskSize=7""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 95 -> 80 []; 80 -> 18 []; 18 -> _1 []; }"
"MVTec_AD_Transistor_mean_pipeline";"Transistor";"0.27300355917722002";"7";"6";"7";"20";"digraph Pipeline { rankdir = ""RL"";98 [label=""SelectShape\nMin=87\n Max=99999\n Features=width""]; 67 [label=""Closing\nA=16\n B=18\n C=0,392699\n StructElementType=Rectangle""]; 48 [label=""HistoToThresh\nSigma=4""]; 37 [label=""Connection\nNeighborhood=4""]; 2 [label=""EdgesImage\nFilter=canny\n Alpha=1,1\n Low=5\n High=10\n NonMaximumSuppression=nms""]; 23 [label=""RegionGrowing\nRasterHeight=21\n RasterWidth=19\n Tolerance=7\n MinRegionSize=1""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 7 [label=""CropSmallestRectangle\nMinGray=18\n MaxGray=255""]; 98 -> 67 []; 67 -> 48 []; 48 -> 37 []; 48 -> 2 []; 37 -> 23 []; 2 -> _1 []; 23 -> 7 []; 7 -> _1 []; }"
"MVTec_AD_Wood_Scratch_mean_pipeline";"Scratch";"0.62283937282841595";"4";"4";"4";"12";"digraph Pipeline { rankdir = ""RL"";67 [label=""Closing\nA=30\n B=16\n C=-0.392699\n StructElementType=Circle""]; 21 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=31\n Scale=0.2""]; 11 [label=""SobelAmp\nFilterType=y\n MaskSize=7""]; 3 [label=""MedianWeighted\nMaskType=gauss\n MaskSize=3""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 67 -> 21 []; 21 -> 11 []; 11 -> 3 []; 3 -> _1 []; }"
"MVTec_AD_Zipper_Rough_mean_pipeline";"Rough";"0.47688356425788903";"4";"4";"4";"6";"digraph Pipeline { rankdir = ""RL"";34 [label=""Closing\nA=26\n B=27\n C=0.785398\n StructElementType=Ellipse""]; 28 [label=""ZeroCrossing\n""]; 14 [label=""SobelAmp\nFilterType=y\n MaskSize=7""]; 8 [label=""KirschAmp\n""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 34 -> 28 []; 28 -> 14 []; 14 -> 8 []; 8 -> _1 []; }"
"Pultrusion_Resin_Augmtd_mean_pipeline";"Augmtd";"0.47828182092175497";"7";"5";"6";"15";"digraph Pipeline { rankdir = ""RL"";91 [label=""SelectShape\nMin=35\n Max=99999\n Features=ra""]; 30 [label=""Opening\nStructElement=Rectangle\n A=24\n B=26""]; 24 [label=""BinaryThreshold\nMethod=max_separability\n LightDark=light""]; 27 [label=""BinaryThreshold\nMethod=smooth_histo\n LightDark=light""]; 3 [label=""SigmaImage\nMaskHeight=19\n MaskWidth=5\n Sigma=145""]; 12 [label=""SobelAmp\nFilterType=x_binomial\n MaskSize=3""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 1 [label=""EquHistoImage\n""]; 91 -> 30 []; 30 -> 24 []; 30 -> 27 []; 24 -> 3 []; 27 -> 12 []; 3 -> _1 []; 12 -> 1 []; 1 -> _1 []; }"
"Pultrusion_Resin_mean_pipeline";"Resin";"0.68195012242479602";"5";"4";"5";"10";"digraph Pipeline { rankdir = ""RL"";93 [label=""Opening\nStructElement=Ellipse\n A=16\n B=29""]; 82 [label=""BinaryThreshold\nMethod=max_separability\n LightDark=light""]; 38 [label=""SelectShape\nMin=29\n Max=99999\n Features=outer_radius""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 24 [label=""ZeroCrossing\n""]; 16 [label=""SobelAmp\nFilterType=y_binomial\n MaskSize=7""]; 93 -> 82 []; 93 -> 38 []; 82 -> _1 []; 38 -> 24 []; 24 -> 16 []; 16 -> _1 []; }"
"Pultrusion_Window_mean_pipeline";"Window";"0.70642792103195196";"4";"4";"4";"7";"digraph Pipeline { rankdir = ""RL"";68 [label=""AreaToRectangle\n""]; 28 [label=""CropRectangle\nMinRatio=0,0949999988079071\n MaskHeight=23\n MaskWidth=15""]; 14 [label=""SobelAmp\nFilterType=y\n MaskSize=7""]; 4 [label=""CropSmallestRectangle\nMinGray=21\n MaxGray=255""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 68 -> 28 []; 28 -> 14 []; 14 -> 4 []; 4 -> _1 []; }"
"RoadCracks_mean_pipeline";"RoadCracks";"0.50182235236762696";"2";"2";"2";"8";"digraph Pipeline { rankdir = ""RL"";86 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=31\n Scale=0,2""]; 2 [label=""GrayOpening\nStructElement=Circle\n A=30\n B=11\n GrayValueMax=30""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 86 -> 2 []; 2 -> _1 []; }"
"severstal-steel_mean_pipeline";"severstal-steel";"0.35338033373537697";"3";"3";"3";"11";"digraph Pipeline { rankdir = ""RL"";74 [label=""Dilation1\nIterations=1\n StructElement=Ellipse\n A=18\n B=18""]; 27 [label=""Threshold\nMin=65\n Max=240""]; 4 [label=""EdgesImage\nFilter=canny\n Alpha=1.2\n Low=5\n High=20\n NonMaximumSuppression=nms""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 74 -> 27 []; 27 -> 4 []; 4 -> _1 []; }"
