"long";"short";"MCC";"number_of_operators";"pipeline_depth";"number_of_unique_operators";"total_number_of_parameters";"digraph"
"MVTec_AD_Hazelnut_Crack_mean_pipeline";"Crack";"0.46072749407282665";"3";"3";"3";"8";"digraph Pipeline { rankdir = ""RL"";34 [label=""AreaToRectangle\n""]; 27 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=light\n MaskSize=21\n Scale=0,5""]; 3 [label=""GrayClosing\nStructElement=Circle\n A=4\n B=28\n GrayValueMax=30""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 34 -> 27 []; 27 -> 3 []; 3 -> _1 []; }"
"MVTec_D_Leather_mean_pipeline";"Leather";"0.38513949982424778";"5";"4";"5";"14";"digraph Pipeline { rankdir = ""RL"";68 [label=""Closing\nA=5\n B=30\n C=0\n StructElementType=Rectangle""]; 54 [label=""CloseEdges\nMinAmplitude=79""]; 19 [label=""SobelAmp\nFilterType=y_binomial\n MaskSize=3""]; 20 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=light\n MaskSize=31\n Scale=0,2""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 6 [label=""SigmaImage\nMaskHeight=17\n MaskWidth=3\n Sigma=134""]; 68 -> 54 []; 54 -> 19 []; 54 -> 20 []; 19 -> _1 []; 20 -> 6 []; 6 -> _1 []; }"
"MVTec_AD_Metal_Nut_mean_pipeline";"Nut";"0.12124497586992385";"8";"5";"8";"14";"digraph Pipeline { rankdir = ""RL"";77 [label=""Opening\nStructElement=Ellipse\n A=27\n B=15""]; 61 [label=""Union2\n""]; 24 [label=""ZeroCrossing\n""]; 33 [label=""Connection\nNeighborhood=4""]; 14 [label=""SobelAmp\nFilterType=x\n MaskSize=3""]; 26 [label=""CropRectangle\nMinRatio=0,0949999988079071\n MaskHeight=29\n MaskWidth=7""]; 7 [label=""DualRank\nMaskType=circle\n Radius=61\n ModePercent=66\n Margin=OneEighty""]; 0 [label=""GaussFilter\nMaskSize=3""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 77 -> 61 []; 77 -> 24 []; 61 -> 24 []; 61 -> 33 []; 24 -> 14 []; 33 -> 26 []; 14 -> 7 []; 26 -> 0 []; 7 -> _1 []; 0 -> _1 []; }"
"MVTec_AD_Pill_Crack_mean_pipeline";"Crack";"0.54569429825273630";"3";"3";"3";"11";"digraph Pipeline { rankdir = ""RL"";92 [label=""Closing\nA=9\n B=20\n C=-1,178097\n StructElementType=Circle""]; 88 [label=""CropRectangle\nMinRatio=0,109999999403954\n MaskHeight=29\n MaskWidth=29""]; 3 [label=""GrayOpening\nStructElement=Circle\n A=17\n B=10\n GrayValueMax=10""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 92 -> 88 []; 88 -> 3 []; 3 -> _1 []; }"
"MVTec_AD_Screw_Scratch_mean_pipeline";"Scratch";"0.19365330216192247";"4";"3";"4";"16";"digraph Pipeline { rankdir = ""RL"";37 [label=""Opening\nStructElement=Ellipse\n A=19\n B=18""]; 22 [label=""CropRectangle\nMinRatio=0,0249999985098839\n MaskHeight=13\n MaskWidth=19""]; 20 [label=""AreaSizeThreshold\nMinGray=20\n MaxGray=254\n MinSize=9000\n MaxSize=18000\n WindowWidth=320\n WindowHeight=260""]; 4 [label=""DualRank\nMaskType=circle\n Radius=47\n ModePercent=17\n Margin=TwoFifityFive""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 37 -> 22 []; 37 -> 20 []; 22 -> 4 []; 20 -> _1 []; 4 -> _1 []; }"
"MVTec_AD_Tile_Crack_mean_pipeline";"Crack";"0.57171049973927546";"4";"4";"4";"14";"digraph Pipeline { rankdir = ""RL"";63 [label=""Erosion1\nIterations=3\n StructElement=Rectangle\n A=23\n B=14""]; 31 [label=""Dilation1\nIterations=4\n StructElement=Rectangle\n A=20\n B=9""]; 22 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=light\n MaskSize=21\n Scale=0.3""]; 6 [label=""BinomialFilter\nMaskHeight=19\n MaskWidth=17""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 63 -> 31 []; 31 -> 22 []; 22 -> 6 []; 6 -> _1 []; }"
"MVTec_AD_Toothbrush_Sm_mean_pipeline";"Sm";"0.20635339038951303";"2";"2";"2";"6";"digraph Pipeline { rankdir = ""RL"";24 [label=""Threshold\nMin=30\n Max=250""]; 4 [label=""GrayClosing\nStructElement=Circle\n A=16\n B=13\n GrayValueMax=0""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 24 -> 4 []; 4 -> _1 []; }"
"MVTec_AD_Wood_Scratch_mean_pipeline";"Scratch";"0.55359810925605357";"4";"4";"4";"12";"digraph Pipeline { rankdir = ""RL"";37 [label=""Dilation1\nIterations=14\n StructElement=Rectangle\n A=4\n B=3""]; 20 [label=""VarThreshold\nMaskWidth=7\n MaskHeight=19\n StdDevScale=0.1000001\n AbsThreshold=26\n LightDark=dark""]; 13 [label=""SobelAmp\nFilterType=y\n MaskSize=7""]; 4 [label=""GaussFilter\nMaskSize=9""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 37 -> 20 []; 20 -> 13 []; 13 -> 4 []; 4 -> _1 []; }"
"MVTec_AD_Zipper_Rough_mean_pipeline";"Rough";"0.32100748583335459";"3";"3";"3";"9";"digraph Pipeline { rankdir = ""RL"";38 [label=""Closing\nA=22\n B=20\n C=-0.785398\n StructElementType=Rectangle""]; 27 [label=""LocalThreshold\nMethod=adapted_std_deviation\n LightDark=dark\n MaskSize=21\n Scale=0.2""]; 7 [label=""GaussFilter\nMaskSize=11""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 38 -> 27 []; 27 -> 7 []; 7 -> _1 []; }"
"Pultrusion_Resin_Augmtd_mean_pipeline";"Augmtd";"0.39682053813536666";"2";"2";"2";"6";"digraph Pipeline { rankdir = ""RL"";88 [label=""BinaryThreshold\nMethod=max_separability\n LightDark=light""]; 0 [label=""GrayErosion\nStructElement=Circle\n A=30\n B=30\n GrayValueMax=0""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 88 -> 0 []; 0 -> _1 []; }"
"Pultrusion_Resin_mean_pipeline";"Resin";"0.63326132685754144";"3";"3";"3";"11";"digraph Pipeline { rankdir = ""RL"";83 [label=""AreaSizeThreshold\nMinGray=18\n MaxGray=243\n MinSize=10000\n MaxSize=21000\n WindowWidth=200\n WindowHeight=220""]; 13 [label=""SobelAmp\nFilterType=y\n MaskSize=7""]; 0 [label=""MedianImage\nMaskType=circle\n Radius=47\n Margin=TwoTen""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 83 -> 13 []; 13 -> 0 []; 0 -> _1 []; }"
"Pultrusion_Window_mean_pipeline";"Window";"0.72838889975055576";"3";"3";"3";"7";"digraph Pipeline { rankdir = ""RL"";86 [label=""CropRectangle\nMinRatio=0,0399999991059303\n MaskHeight=27\n MaskWidth=29""]; 17 [label=""SobelAmp\nFilterType=y\n MaskSize=3""]; 5 [label=""CropSmallestRectangle\nMinGray=21\n MaxGray=255""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 86 -> 17 []; 17 -> 5 []; 5 -> _1 []; }"
"severstal-steel_mean_pipeline";"severstal-steel";"0.21033807388804102";"3";"3";"3";"7";"digraph Pipeline { rankdir = ""RL"";31 [label=""Union1\n""]; 26 [label=""VarThreshold\nMaskWidth=29\n MaskHeight=23\n StdDevScale=0.2000001\n AbsThreshold=13\n LightDark=not_equal""]; 5 [label=""BinomialFilter\nMaskHeight=17\n MaskWidth=5""]; _1 [label=""HalconInputNode\nProgramInputIdentifier=-1""]; 31 -> 26 []; 26 -> 5 []; 5 -> _1 []; }"
