,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
spule2-0816_Upside-dl1,0.90489167,0.94405526,0.90553796,0.9279019,0.9419207,0.97832704,0.9275729,0.97393703,0.96649235,0.93341416,1.0000001,0.9725138,0.98388416,0.9594569,0.9973976,0.9973976,0.9977741,0.9591708,0.96206045,0.9411475,0.8007342,0.96770036,0.9861019,0.9365396,0.97158056,0.94163245,0.93810225,0.98612493,0.9512681,0.9738117,0.9908567,0.8735465,0.9671807,0.9672649,0.9671807,0.96280324,0.96647984,0.9327618
FabricDefectsAITEX,0.9658135,0.97511625,0.95839363,0.97206545,0.9842772,0.98662627,0.97071075,0.939754,0.9072502,0.96791095,0.9725138,1.0000001,0.99090576,0.9936176,0.95867187,0.95867187,0.98239696,0.9756188,0.9749063,0.9656467,0.67179877,0.95194644,0.9486329,0.9800701,0.98515344,0.9784717,0.9797222,0.9574982,0.98302704,0.98697805,0.9824891,0.9165724,0.96792185,0.96790266,0.96792185,0.9850478,0.97461444,0.95735943
kos10,0.9433182,0.955516,0.9304068,0.9535985,0.9622577,0.98167837,0.9477067,0.9702672,0.94534045,0.9741818,0.98388416,0.99090576,1.0000001,0.97648436,0.977693,0.977693,0.9879087,0.958103,0.9590471,0.9429765,0.7495097,0.94971323,0.96853423,0.9560464,0.9723445,0.9535102,0.9544743,0.9713713,0.96284854,0.99534905,0.9804989,0.92871904,0.9587264,0.95875764,0.9587264,0.9694036,0.96220285,0.9733252
MT_Blowhole_train,0.9696019,0.9884585,0.97304696,0.9826869,0.9940174,0.9856895,0.9848565,0.9130423,0.8737384,0.9561817,0.9594569,0.9936176,0.97648436,0.99999994,0.93979096,0.93979096,0.9730973,0.9834326,0.9813609,0.97768664,0.6157666,0.9507198,0.93149143,0.9891731,0.98835963,0.988993,0.99117565,0.9445122,0.9888611,0.9756391,0.9792735,0.9021535,0.9714111,0.9713563,0.9714111,0.99435145,0.97983754,0.94061166
spule-upside-0315,0.88677394,0.92358214,0.8834362,0.9087876,0.92106307,0.96368396,0.9063434,0.9787881,0.97597545,0.92761415,0.9973976,0.95867187,0.977693,0.93979096,0.99999994,0.99999994,0.99131554,0.93823993,0.9419938,0.917133,0.83394325,0.95357484,0.983728,0.915408,0.9537397,0.9191964,0.9157995,0.98011196,0.9321694,0.9675543,0.9788719,0.87232566,0.95003635,0.9501417,0.95003635,0.9422783,0.94770515,0.9308977
spule-upside-hole-reduced,0.88677394,0.92358214,0.8834362,0.9087876,0.92106307,0.96368396,0.9063434,0.9787881,0.97597545,0.92761415,0.9973976,0.95867187,0.977693,0.93979096,0.99999994,0.99999994,0.99131554,0.93823993,0.9419938,0.917133,0.83394325,0.95357484,0.983728,0.915408,0.9537397,0.9191964,0.9157995,0.98011196,0.9321694,0.9675543,0.9788719,0.87232566,0.95003635,0.9501417,0.95003635,0.9422783,0.94770515,0.9308977
spule-upside-hole256-reduced,0.9187348,0.95524323,0.92243147,0.94026667,0.95942396,0.9892935,0.9422526,0.96297944,0.9532893,0.9419319,0.9977741,0.98239696,0.9879087,0.9730973,0.99131554,0.99131554,1.0000001,0.9741039,0.9761999,0.95906466,0.76527256,0.9738067,0.9822357,0.9555089,0.9846359,0.9609841,0.9568785,0.9859801,0.9681755,0.97973865,0.9960687,0.88144815,0.97653246,0.97658855,0.97653246,0.973635,0.9788326,0.9346752
bottle_large,0.9136499,0.9589305,0.930603,0.93776405,0.97454876,0.99341935,0.9484688,0.8965247,0.8801014,0.9072271,0.9591708,0.9756188,0.958103,0.9834326,0.93823993,0.93823993,0.9741039,0.99999994,0.9998068,0.99804854,0.6266891,0.98284596,0.9481169,0.9736813,0.99767,0.9874596,0.9777518,0.9627238,0.9808563,0.9484768,0.9855715,0.8317758,0.9930151,0.99298483,0.9930151,0.98626775,0.9985208,0.8838262
bottle_small,0.9087711,0.955635,0.9256019,0.93355376,0.9714335,0.99419343,0.94426936,0.9005967,0.88711625,0.90554625,0.96206045,0.9749063,0.9590471,0.9813609,0.9419938,0.9419938,0.9761999,0.9998068,1.0,0.9972571,0.63907045,0.9857027,0.95276016,0.97060066,0.9977142,0.98516446,0.9747011,0.9669372,0.97892624,0.94865435,0.98709756,0.8288965,0.9940124,0.9939934,0.9940124,0.9848707,0.9991455,0.8828157
capsule,0.9036897,0.95019984,0.922778,0.92814946,0.96957564,0.98646456,0.94046706,0.87262774,0.8544196,0.8921378,0.9411475,0.9656467,0.9429765,0.97768664,0.917133,0.917133,0.95906466,0.99804854,0.9972571,0.99999994,0.5870198,0.9774178,0.9315273,0.9691449,0.99204123,0.985122,0.97373074,0.94877595,0.9744927,0.9333131,0.9734443,0.8140746,0.9894107,0.98935497,0.9894107,0.98098946,0.9954402,0.8652689
carpet,0.5366898,0.58896947,0.5083298,0.5682252,0.56499135,0.6904388,0.5495237,0.8671284,0.917493,0.66460466,0.8007342,0.67179877,0.7495097,0.6157666,0.83394325,0.83394325,0.76527256,0.6266891,0.63907045,0.5870198,0.99999994,0.725702,0.83416206,0.551651,0.6538986,0.5605726,0.5516271,0.8093567,0.5890899,0.72570133,0.7310303,0.61792105,0.6778967,0.67830193,0.6778967,0.6367733,0.6604719,0.71374243
cable_missing_train,0.85327685,0.9192612,0.86544234,0.88709366,0.92565435,0.9819136,0.8946101,0.9272749,0.9273332,0.8678714,0.96770036,0.95194644,0.94971323,0.9507198,0.95357484,0.95357484,0.9738067,0.98284596,0.9857027,0.9774178,0.725702,0.9999999,0.97972786,0.92178637,0.9792759,0.94386876,0.92786044,0.98728627,0.9374068,0.92841786,0.9830468,0.77890277,0.9947542,0.99481577,0.9947542,0.96718276,0.99047023,0.8600417
grid_thread,0.8494234,0.9050134,0.8467262,0.8797195,0.90128887,0.9672496,0.87798923,0.9783832,0.9802505,0.8915574,0.9861019,0.9486329,0.96853423,0.93149143,0.983728,0.983728,0.9822357,0.9481169,0.95276016,0.9315273,0.83416206,0.97972786,0.99999994,0.8944626,0.95610297,0.90836614,0.8976934,0.99691653,0.9138767,0.9472285,0.97948563,0.81766814,0.9692175,0.96934944,0.9692175,0.945757,0.9608834,0.9003773
hazelnut_crack_train,0.97066355,0.9792468,0.98344725,0.9778738,0.998803,0.9724356,0.98638695,0.866544,0.8293577,0.9513534,0.9365396,0.9800701,0.9560464,0.9891731,0.915408,0.915408,0.9555089,0.9736813,0.97060066,0.9691449,0.551651,0.92178637,0.8944626,1.0000001,0.98047936,0.99656546,0.99938625,0.9106679,0.9980355,0.9621807,0.9609413,0.9062058,0.94874465,0.94863707,0.94874465,0.9725643,0.963681,0.9188852
metal_nut,0.9284652,0.9662566,0.94190335,0.9492565,0.9812799,0.9972834,0.9579962,0.91414225,0.8975593,0.92841566,0.97158056,0.98515344,0.9723445,0.98835963,0.9537397,0.9537397,0.9846359,0.99767,0.9977142,0.99204123,0.6538986,0.9792759,0.95610297,0.98047936,0.99999994,0.99006903,0.98305273,0.9686692,0.98811644,0.9650573,0.9919663,0.8600198,0.9896986,0.9896806,0.9896986,0.9872981,0.99625987,0.9065994
pill,0.951128,0.97286713,0.96864873,0.96408534,0.9947995,0.9817987,0.9755387,0.866631,0.83813244,0.9336322,0.94163245,0.9784717,0.9535102,0.988993,0.9191964,0.9191964,0.9609841,0.9874596,0.98516446,0.985122,0.5605726,0.94386876,0.90836614,0.99656546,0.99006903,1.0,0.99756557,0.9258458,0.9975515,0.9551008,0.9696112,0.87678766,0.9658701,0.9657776,0.9658701,0.9778742,0.97912455,0.8997501
screw_scratch_neck_train,0.96838504,0.98274106,0.983425,0.97872835,0.99894017,0.97432107,0.98778194,0.8672114,0.8300816,0.9453087,0.93810225,0.9797222,0.9544743,0.99117565,0.9157995,0.9157995,0.9568785,0.9777518,0.9747011,0.97373074,0.5516271,0.92786044,0.8976934,0.99938625,0.98305273,0.99756557,0.99999994,0.9144499,0.9977688,0.9594761,0.96441317,0.89626914,0.95392805,0.9538269,0.95392805,0.9776923,0.96823233,0.91386926
