,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
kos10,0.74902093,0.96104085,0.93152684,0.9515266,0.96931714,0.9814887,0.96758157,0.8454042,0.899736,0.79504204,0.9892773,0.9547366,1.0,0.946223,0.9927854,0.9927854,0.9954713,0.9901543,0.99024546,0.9373653,0.7499857,0.9792445,0.8258039,0.9525059,0.9884937,0.9458813,0.95709676,0.99726075,0.9738658,0.9902694,0.9631895,0.98480725,0.97568816,0.9758864,0.97568816,0.9506441,0.9708065,0.9772101
MT_Blowhole_train,0.59126234,0.99600637,0.9967966,0.99906707,0.9934733,0.9841872,0.99366313,0.66829145,0.74698675,0.59918034,0.9332127,0.99952626,0.946223,1.0000001,0.9424062,0.9424062,0.94820905,0.9756849,0.96402234,0.99862325,0.5405587,0.9878129,0.635566,0.99947476,0.98276126,0.9965668,0.9990213,0.94446766,0.9921993,0.9773437,0.9905187,0.9667798,0.99261296,0.99269265,0.99261296,0.99970293,0.9922655,0.9914879
spule-upside-0315,0.7703199,0.9549468,0.92176825,0.9479364,0.9707008,0.9856832,0.9629621,0.8715684,0.9246811,0.827229,0.99894,0.9506236,0.9927854,0.9424062,0.9999999,0.9999999,0.9988745,0.9909424,0.9958047,0.92905617,0.78294,0.9765565,0.8518576,0.9471165,0.9846205,0.93466073,0.9552333,0.9934305,0.96902645,0.99163204,0.9485088,0.9770556,0.9757401,0.97573674,0.9757401,0.94671094,0.97066545,0.96805143
spule-upside-hole-reduced,0.7703199,0.9549468,0.92176825,0.9479364,0.9707008,0.9856832,0.9629621,0.8715684,0.9246811,0.827229,0.99894,0.9506236,0.9927854,0.9424062,0.9999999,0.9999999,0.9988745,0.9909424,0.9958047,0.92905617,0.78294,0.9765565,0.8518576,0.9471165,0.9846205,0.93466073,0.9552333,0.9934305,0.96902645,0.99163204,0.9485088,0.9770556,0.9757401,0.97573674,0.9757401,0.94671094,0.97066545,0.96805143
spule-upside-hole256-reduced,0.7760192,0.96254045,0.9309059,0.95457405,0.9752552,0.9866464,0.9702617,0.86515933,0.91278034,0.81735027,0.9957264,0.95619875,0.9954713,0.94820905,0.9988745,0.9988745,0.9999999,0.99149334,0.9944334,0.9356106,0.7736366,0.9781222,0.84448624,0.9524614,0.987262,0.9408481,0.9596065,0.9930062,0.9717744,0.9936158,0.9542726,0.9856375,0.97867507,0.97886324,0.97867507,0.9529136,0.972325,0.97499657
bottle_large,0.69139546,0.980372,0.9602906,0.9774159,0.9892803,0.998043,0.9839517,0.7983783,0.87092924,0.7448624,0.9881338,0.9809283,0.9901543,0.9756849,0.9909424,0.9909424,0.99149334,0.99999994,0.9984005,0.9682271,0.6927882,0.99659187,0.77437603,0.979723,0.99854743,0.97272086,0.98402476,0.9923469,0.9932827,0.9988801,0.98094374,0.9813315,0.99484986,0.9947221,0.99484986,0.97769225,0.99345136,0.9888976
bottle_small,0.71236396,0.9696694,0.94481456,0.9663123,0.9826891,0.99555,0.9748289,0.8251218,0.8954437,0.77653307,0.99476963,0.9701568,0.99024546,0.96402234,0.9958047,0.9958047,0.9944334,0.9984005,1.0000001,0.9541337,0.7263484,0.99113137,0.8030059,0.9683529,0.9940574,0.95886695,0.9745153,0.9939387,0.9857757,0.9970267,0.96866584,0.9761189,0.9890541,0.98883945,0.9890541,0.96641046,0.9873915,0.97986275
capsule,0.5577745,0.9929676,0.997775,0.99653375,0.987375,0.9763626,0.98898494,0.6369833,0.7214425,0.5651573,0.91943836,0.9976358,0.9373653,0.99862325,0.92905617,0.92905617,0.9356106,0.9682271,0.9541337,0.99999994,0.50464207,0.98380804,0.6033514,0.99860483,0.9773877,0.9987817,0.996391,0.9359537,0.9896835,0.9688446,0.9924331,0.95819175,0.9872033,0.9872581,0.9872033,0.9977235,0.9880726,0.9878623
carpet,0.93031937,0.58619183,0.500352,0.5617639,0.62972915,0.67135614,0.6121392,0.9864656,0.938505,0.99662244,0.791402,0.5611971,0.7499857,0.5405587,0.78294,0.78294,0.7736366,0.6927882,0.7263484,0.50464207,0.9999998,0.6312205,0.9922875,0.54860556,0.66563684,0.51604706,0.57184136,0.74464595,0.6060066,0.70006865,0.554572,0.70055866,0.6324994,0.63298094,0.6324994,0.55429894,0.61252147,0.6183398
cable_missing_train,0.6366787,0.98731804,0.9755797,0.98711693,0.992124,0.997057,0.98824626,0.7461031,0.8300497,0.6875942,0.97264475,0.9910135,0.9792445,0.9878129,0.9765565,0.9765565,0.9781222,0.99659187,0.99113137,0.98380804,0.6312205,0.99999994,0.7197976,0.99117595,0.9979734,0.9872066,0.993223,0.982388,0.9992343,0.9944753,0.9915084,0.97517025,0.99795353,0.9977453,0.99795353,0.9883191,0.9988922,0.9929236
grid_thread,0.93099964,0.6772215,0.59839886,0.6545029,0.715774,0.7541468,0.70069087,0.9981956,0.96819943,0.99779195,0.8584674,0.654774,0.8258039,0.635566,0.8518576,0.8518576,0.84448624,0.77437603,0.8030059,0.6033514,0.9922875,0.7197976,1.0,0.64371294,0.7508442,0.6148305,0.66430825,0.82080954,0.69713825,0.7804215,0.6513393,0.77993953,0.71982586,0.72026676,0.71982586,0.64806026,0.70209336,0.7084078
hazelnut_crack_train,0.59276384,0.99611723,0.9956114,0.99842817,0.99380726,0.9863316,0.9938006,0.6757988,0.7565945,0.6074008,0.93871367,0.99971086,0.9525059,0.99947476,0.9471165,0.9471165,0.9524614,0.979723,0.9683529,0.99860483,0.54860556,0.99117595,0.64371294,1.0,0.98660344,0.998125,0.9993753,0.95154864,0.99517494,0.98040503,0.9942309,0.9685981,0.99421906,0.9942558,0.99421906,0.99927247,0.9942574,0.9931945
