,t_8,80.jpg_bright,80.jpg_dark_1,80.jpg_dark_2,80.jpg_dark_3,80.jpg_dark_4,80.jpg_dark_5,CF_RefSet,CF_RefSet_Small_Light,CF_ReferenceSet_Small_Dark,spule2-0816_Upside-dl1,FabricDefectsAITEX,kos10,MT_Blowhole_train,spule-upside-0315,spule-upside-hole-reduced,spule-upside-hole256-reduced,bottle_large,bottle_small,capsule,carpet,cable_missing_train,grid_thread,hazelnut_crack_train,metal_nut,pill,screw_scratch_neck_train,tile_crack,toothbrush_small,wood_scratch,zipper,leather,resin_cgp,resin_cgp_augmented,window_cgp,severstal,transistor_damaged_case_train,crack_forest
pill,0.84705675,0.8699476,0.7162317,0.963996,0.99021614,0.9904333,0.9561922,0.9587929,0.9848207,0.9661078,0.9708996,0.9848801,0.98968256,0.97202337,0.96084714,0.96084714,0.9689856,0.999937,0.9999855,0.99982005,0.9018734,0.9986766,0.99254954,0.96450335,0.99540335,1.0,0.99967325,0.99378484,0.99927425,0.98380035,0.9897932,0.9219427,0.9626136,0.9627061,0.9626136,0.93602085,0.9983099,0.9552243
screw_scratch_neck_train,0.8527911,0.8741305,0.72263765,0.9680508,0.99322945,0.993351,0.96005875,0.9638154,0.9887103,0.97173756,0.9765414,0.98735464,0.99283,0.97555804,0.9671474,0.9671474,0.97468305,0.9994194,0.9995744,0.999438,0.91213423,0.999558,0.995151,0.967478,0.9970873,0.99967325,1.0000001,0.9962361,0.9998773,0.9877022,0.9930455,0.9311132,0.9649912,0.9650818,0.9649912,0.9403503,0.9993592,0.9616482
tile_crack,0.8689053,0.8843724,0.7418311,0.97724926,0.9983253,0.9978179,0.9686384,0.97617066,0.99660355,0.9858669,0.99088186,0.9906066,0.9991138,0.9829615,0.9834382,0.9834382,0.9893415,0.99288374,0.99334466,0.993342,0.9423147,0.99792564,0.99920756,0.9730317,0.9981559,0.99378484,0.9962361,1.0,0.9970941,0.99607307,0.9990112,0.9565829,0.96871,0.9687934,0.96871,0.9504189,0.99811745,0.97875416
toothbrush_small,0.8508445,0.8712929,0.7193031,0.96787924,0.9942422,0.99483305,0.959337,0.96418387,0.9905735,0.97314626,0.9791818,0.9869792,0.99386144,0.9752389,0.97064894,0.97064894,0.97767943,0.9988485,0.9991285,0.9988179,0.91764736,0.99984366,0.9957127,0.9663147,0.9970736,0.99927425,0.9998773,0.9970941,1.0,0.98899466,0.9941079,0.93519115,0.96337736,0.96347,0.96337736,0.9392417,0.999782,0.96376264
wood_scratch,0.8951085,0.9043333,0.77711624,0.9874721,0.9990453,0.99562687,0.9797218,0.98831224,0.99754095,0.99568206,0.9954082,0.99384993,0.9984551,0.98994005,0.9883674,0.9883674,0.99213064,0.98256266,0.9829822,0.9837867,0.955464,0.9906844,0.9976529,0.97999,0.9945717,0.98380035,0.9877022,0.99607307,0.98899466,1.0000001,0.998746,0.97455746,0.97471154,0.97477263,0.97471154,0.96533084,0.99050343,0.99250567
zipper,0.8804912,0.893512,0.7571753,0.9823798,0.9996269,0.99812174,0.9741297,0.98241186,0.99832594,0.99144304,0.9942095,0.9929375,0.9994662,0.9867035,0.9872458,0.9872458,0.99191964,0.98871344,0.98921704,0.98952246,0.9503243,0.9951928,0.9993497,0.97667,0.9971793,0.9897932,0.9930455,0.9990112,0.9941079,0.998746,0.99999994,0.966787,0.9717123,0.97178686,0.9717123,0.957683,0.99542683,0.9858659
leather,0.8767109,0.8704554,0.7651618,0.9582661,0.9663455,0.9640597,0.94754165,0.96790797,0.9741628,0.9823856,0.98596215,0.9528857,0.96457565,0.95549285,0.9878644,0.9878644,0.98397994,0.9186963,0.9203452,0.92063314,0.99082184,0.93911743,0.9587888,0.93867123,0.94699913,0.9219427,0.9311132,0.9565829,0.93519115,0.97455746,0.966787,1.0,0.92756605,0.9276142,0.92756605,0.9362695,0.940623,0.9891021
resin_cgp,0.958083,0.97077906,0.87790114,0.99531436,0.97221565,0.9568485,0.997479,0.99122465,0.95843583,0.97983944,0.95389575,0.9915309,0.97373575,0.99607646,0.93317664,0.93317664,0.9436284,0.96354765,0.96190834,0.9667454,0.88763255,0.9646388,0.9771547,0.99951446,0.9798459,0.9626136,0.9649912,0.96871,0.96337736,0.97471154,0.9717123,0.92756605,0.9999999,0.9999998,0.9999999,0.9945737,0.9617174,0.9703352
resin_cgp_augmented,0.9579844,0.97069573,0.8777329,0.99532217,0.97228694,0.95694095,0.9974742,0.99123317,0.9585201,0.9798745,0.9539723,0.99157065,0.97380686,0.99609506,0.9332668,0.9332668,0.94371676,0.96363854,0.96200174,0.9668323,0.8877135,0.9647289,0.9772251,0.99951875,0.979915,0.9627061,0.9650818,0.9687934,0.96347,0.97477263,0.97178686,0.9276142,0.9999998,0.99999994,0.9999998,0.9945463,0.9618122,0.97036564
window_cgp,0.958083,0.97077906,0.87790114,0.99531436,0.97221565,0.9568485,0.997479,0.99122465,0.95843583,0.97983944,0.95389575,0.9915309,0.97373575,0.99607646,0.93317664,0.93317664,0.9436284,0.96354765,0.96190834,0.9667454,0.88763255,0.9646388,0.9771547,0.99951446,0.9798459,0.9626136,0.9649912,0.96871,0.96337736,0.97471154,0.9717123,0.92756605,0.9999999,0.9999998,0.9999999,0.9945737,0.9617174,0.9703352
severstal,0.978856,0.98419416,0.9122348,0.9942932,0.95873916,0.93986815,0.99784815,0.9927931,0.94542104,0.97862536,0.9461646,0.9815333,0.95935154,0.9913638,0.9257619,0.9257619,0.93397975,0.9365852,0.934892,0.9407549,0.89224327,0.9415371,0.96163964,0.99520737,0.9618104,0.93602085,0.9403503,0.9504189,0.9392417,0.96533084,0.957683,0.9362695,0.9945737,0.9945463,0.9945737,1.0000001,0.9383368,0.97319883
transistor_damaged_case_train,0.8492492,0.8686913,0.7164603,0.9678639,0.99529696,0.99643224,0.95875776,0.9649641,0.9927435,0.97521055,0.9826209,0.986533,0.9951127,0.97509277,0.97507113,0.97507113,0.98156714,0.9976753,0.9981123,0.99761623,0.92518455,0.9998181,0.99640375,0.9652432,0.99698544,0.9983099,0.9993592,0.99811745,0.999782,0.99050343,0.99542683,0.940623,0.9617174,0.9618122,0.9617174,0.9383368,1.0000001,0.96647394
crack_forest,0.9208876,0.9205049,0.81750613,0.9888957,0.9864479,0.9790981,0.9822447,0.99305236,0.98603183,0.998131,0.99147,0.9838223,0.98603135,0.98715395,0.9850646,0.9850646,0.9864532,0.95346177,0.95386535,0.95579726,0.9682169,0.9670904,0.9829698,0.97708637,0.97667915,0.9552243,0.9616482,0.97875416,0.96376264,0.99250567,0.9858659,0.9891021,0.9703352,0.97036564,0.9703352,0.97319883,0.96647394,1.0
